preset,preset_description,strategy,config_label,overlay_enabled,target_vol,vol_lookback,min_leverage,max_leverage,vol_update,period,period_start,period_end,observations,cagr,annualized_vol,sharpe,max_drawdown,calmar,total_return,average_leverage,min_leverage_observed,max_leverage_observed,trade_count,trades_per_year
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_63,True,0.08,63.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.03615306717856526,0.09639435351495562,0.4167843341336679,-0.18748381895175648,0.19283299956604896,0.4767121561169849,0.6575669053839649,0.14211241879665623,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_63,True,0.08,63.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.05053490243472325,0.08865667655422323,0.6004917652636088,-0.14719453394026483,0.3433205098175151,0.27853487766661456,0.6162293661923813,0.35283367524059656,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_126,True,0.08,126.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.02742032470578759,0.09510181332979262,0.33215892141905845,-0.19175306264993575,0.14299810562007093,0.3457053001729087,0.6213672574094078,0.19347711283116453,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.08_lb_126,True,0.08,126.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.04843796215634111,0.08612225104130389,0.5923753569477445,-0.134370115273166,0.3604816596150846,0.2658656433799047,0.5815043115155324,0.3681942977392094,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_21,True,0.1,21.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.049474309728196886,0.10840927040520733,0.4998664888098979,-0.18145715487027747,0.2726500906705263,0.6989891357801636,0.786754221413356,0.10901373571170557,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_21,True,0.1,21.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.05287984578244487,0.10552710416752288,0.5412165115274585,-0.18145715487027714,0.2914178050474142,0.29282232559932564,0.7491491280515954,0.3419814796094618,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_63,True,0.1,63.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.040619361949129296,0.11171510931532692,0.41247192339115507,-0.20914260603798218,0.19421849387184387,0.5481007184705284,0.7585888135121811,0.1776405234958203,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_63,True,0.1,63.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.05813534825581357,0.1038590990051263,0.5961344369392793,-0.16545884297943192,0.3513583632579876,0.3253072401319659,0.7268406633055469,0.44104209405074574,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_126,True,0.1,126.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.03567332856520444,0.11360274088109501,0.36558017516967267,-0.22372388648904473,0.15945248013091032,0.4692248519304514,0.745577731019379,0.24184639103895567,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.10_lb_126,True,0.1,126.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.059685811431586355,0.10400264860032514,0.6095216951774521,-0.16344467282594155,0.3651744067250699,0.3350144311082792,0.7141345616239836,0.46024287217401183,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_21,True,0.12,21.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.05561343493110993,0.11937445821458853,0.5133233850602005,-0.1864691282952068,0.2982447305865347,0.811316558315508,0.8512600577251255,0.13081648285404668,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_21,True,0.12,21.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.06892339901254596,0.11810037081139059,0.6235887756093916,-0.1864691282952059,0.3696236457084246,0.39403427028431737,0.8358901602753834,0.41037777553135407,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_63,True,0.12,63.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.044726757074247336,0.1238020391382542,0.41557167895529884,-0.21981062524012907,0.20347859447370303,0.6165064811118233,0.8382732174613761,0.21316862819498436,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_63,True,0.12,63.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.06587559807592447,0.11795835146533838,0.5999601431665184,-0.1744826975241658,0.37754802631246986,0.37433565067706365,0.827589921467004,0.5292505128608949,1.0,33,6.6210191082802545
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_126,True,0.12,126.0,0.0,1.0,rebalance,full,2015-01-02,2025-12-31,2766,0.04118905850484511,0.12889440355949133,0.3778935811267459,-0.24501334246781736,0.16810945106083486,0.5574287246217438,0.847626281742486,0.29021566924674674,1.0,75,6.83297180043384
vm_core,"Value+momentum core (manual, alertable).",valmom_v1,tv_0.12_lb_126,True,0.12,126.0,0.0,1.0,rebalance,recent_5y,2020-12-31,2025-12-31,1256,0.06761861022976046,0.12029227717785626,0.6042087345204892,-0.1918647621931192,0.35242849941199594,0.3855736902875382,0.8344646987552846,0.5522914466088141,1.0,33,6.6210191082802545
